subject,body,sender,label
Exclusive offer: Act now before it expires!,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://appleid.apple.com-verify.qmaa7h7a.cn/auth Use code SAVE90 at checkout. Hurry, stocks are limited!",alert@bank0famerica.net,1
Q3 Project Update - Progress Report,"New on our engineering blog: Best Practices for Code Reviews. In this post, we cover how to write constructive feedback, common pitfalls to avoid, and tools that can streamline your review process. Read the full article at https://www.ourcompany.com/blog/code-reviews",sarah.johnson@ourcompany.com,0
Your account will be suspended in 24 hours,"Dear User, We noticed a sign-in attempt from an unrecognized device. If this wasn't you, please secure your account immediately by clicking: http://appleid.apple.com-verify.lklfyp5j.cn/auth Your security is our top priority.",noreply@netfl1x-update.top,1
Your payment failed - update billing info now,"Your recent payment of $49.99 has failed. To avoid service interruption, please update your billing information immediately at: http://portal.office365-security.5puyrzxh.co/reset If you do not update within 12 hours, your account will be suspended. Alternative link: http://192.168.1.244/verify-account",security@0ffice365.co,1
Your order has been shipped,"New on our engineering blog: Best Practices for Code Reviews. In this post, we cover how to write constructive feedback, common pitfalls to avoid, and tools that can streamline your review process. Read the full article at https://www.ourcompany.com/blog/code-reviews",team@slack.com,0
Tax refund notification - claim your refund now,"Dear User, We noticed a sign-in attempt from an unrecognized device. If this wasn't you, please secure your account immediately by clicking: http://www.bankofamerica-secure.nompwjgh.org/verify Your security is our top priority. This is your FINAL warning! Alternative link: http://www.bankofamerica-secure.xu5r5l6r.org/verify",noreply@netfl1x-update.top,1
Congratulations! You've won a $1000 gift card,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://secure.chase-verify.n1gn81ej.net/login This is your last chance.,admin@paypa1-support.xyz,1
Re: Question about the API documentation,"Thank you for registering for TechConf 2026! Your registration has been confirmed. Event details: Date: March 15-17, Location: San Francisco Convention Center. Your confirmation number is TC-108845. View event schedule at https://www.techconf.com/schedule",mike.chen@ourcompany.com,0
Happy Birthday from the team!,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",david.smith@ourcompany.com,0
Your payment failed - update billing info now,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://192.168.1.127/verify-account Thank you for your cooperation. Time is running out!",admin@paypa1-support.xyz,1
Security Alert: Unusual sign-in activity detected,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://secure-login.account-verify.114.xyz/auth Offer expires in 48 hours! Time is running out!",support@amaz0n-billing.ru,1
Your account will be suspended in 24 hours,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://secure-login.account-verify.4.xyz/auth Offer expires in 48 hours! ACT NOW!",noreply@microsoft-security.tk,1
Security Alert: Unusual sign-in activity detected,URGENT NOTICE: Your account has been temporarily locked due to suspicious activity. You must verify your credentials within 24 hours to avoid permanent suspension. Click here: http://secure.chase-verify.2r5mubjd.net/login Failure to act will result in account deletion.,admin@paypa1-support.xyz,1
Reset your password immediately,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://tinyurl.com/r1ktgj3g Thank you for your cooperation.",noreply@netfl1x-update.top,1
Feedback requested on design mockups,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",orders@amazon.com,0
You have (1) unread secure message,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://bit.ly/3lyxi3mw Thank you for your cooperation.",noreply@microsoft-security.tk,1
Action Required: Verify your identity immediately,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://netflix-billing.u353ef9p.top/update-payment Non-compliance will result in account restriction. Don't delay!",noreply@netfl1x-update.top,1
Your monthly statement is ready,"Hello everyone, I'm pleased to share the Q3 progress report. We've completed 87% of our planned deliverables and are on track to meet all major milestones. Key highlights include the successful launch of the new API, completion of database migration, and positive user feedback on the redesigned dashboard. Full report attached.",hr@ourcompany.com,0
Invoice #INV-39481 attached - payment overdue,"You have received a secure document from DocuSign. To view and sign the document, click here: http://bit.ly/rze84lmq This document requires your immediate attention and signature. Alternative link: http://tinyurl.com/cm3g7n4y",support@amaz0n-billing.ru,1
Happy Birthday from the team!,"Thank you for registering for TechConf 2026! Your registration has been confirmed. Event details: Date: March 15-17, Location: San Francisco Convention Center. Your confirmation number is TC-864816. View event schedule at https://www.techconf.com/schedule",david.smith@ourcompany.com,0
New blog post: Best practices for code reviews,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",support@figma.com,0
Your account will be suspended in 24 hours,"Dear Customer, We have detected unusual activity on your account. Please click the link below to verify your identity immediately or your account will be permanently suspended. http://www.paypa1.com/signin/4hez5edj This is an automated security measure. Act now to protect your account. ACT NOW!",admin@paypa1-support.xyz,1
